x,y,t,v
1.85737,0.945973,14.2121,0.8
1.81788,0.889144,14.2986,0.8
1.77839,0.832314,14.3851,0.8
1.7389,0.775485,14.4716,0.8
1.6994,0.718656,14.5581,0.8
1.65991,0.661826,14.6446,0.8
1.62042,0.604997,14.7311,0.8
1.58093,0.548167,14.8176,0.8
1.54144,0.491338,14.9041,0.8
1.50195,0.434508,14.9906,0.8
1.46245,0.377679,15.0771,0.8
1.42303,0.320849,15.1636,0.8
1.38482,0.26402,15.2492,0.8
1.34983,0.207191,15.3326,0.8
1.3201,0.150361,15.4128,0.8
1.29766,0.0935318,15.4892,0.8
1.28455,0.0367023,15.5621,0.8
1.28278,-0.0201271,15.6331,0.8
1.29278,-0.0769565,15.7053,0.8
1.31271,-0.133786,15.7805,0.8
1.34052,-0.190615,15.8596,0.8
1.37419,-0.247445,15.9422,0.8
1.41167,-0.304274,16.0273,0.8
1.45094,-0.361104,16.1136,0.8
1.49043,-0.417933,16.2001,0.8
1.52992,-0.474763,16.2866,0.8
1.56941,-0.531592,16.3732,0.8
1.6089,-0.588421,16.4597,0.8
1.64839,-0.645251,16.5462,0.8
1.68789,-0.70208,16.6327,0.8
1.72738,-0.75891,16.7192,0.8
1.76687,-0.815739,16.8057,0.8
1.80636,-0.872569,16.8922,0.8
1.84585,-0.929398,16.9787,0.8
1.88534,-0.986227,17.0652,0.8
1.92484,-1.04306,17.1517,0.8
1.96433,-1.09989,17.2382,0.8
2.00382,-1.15672,17.3247,0.8
2.04331,-1.21355,17.4112,0.8
2.0828,-1.27037,17.4977,0.8
2.12229,-1.3272,17.5842,0.8
2.16179,-1.38403,17.6707,0.8
2.20124,-1.44084,17.7572,0.8
2.23946,-1.49683,17.8419,0.8
2.27389,-1.55031,17.9214,0.8
2.30188,-1.59953,17.9922,0.8
2.3208,-1.64275,18.0512,0.8
2.32801,-1.67823,18.0964,0.8
2.32087,-1.70422,18.1301,0.8
2.29828,-1.71998,18.1646,0.8
2.26243,-1.72698,18.2102,0.8
2.21597,-1.72696,18.2683,0.8
2.16154,-1.72166,18.3366,0.8
2.10177,-1.71283,18.4122,0.8
2.03931,-1.70223,18.4914,0.8
1.97638,-1.69131,18.5712,0.8
1.91345,-1.68039,18.651,0.8
1.85052,-1.66948,18.7309,0.8
1.78759,-1.65856,18.8107,0.8
1.72466,-1.64765,18.8905,0.8
1.66173,-1.63673,18.9704,0.8
1.5988,-1.62581,19.0502,0.8
1.53587,-1.6149,19.1301,0.8
1.47294,-1.60398,19.2099,0.8
1.41001,-1.59306,19.2897,0.8
1.34708,-1.58215,19.3696,0.8
1.28415,-1.57123,19.4494,0.8
1.22122,-1.56031,19.5292,0.8
1.15829,-1.5494,19.6091,0.8
1.09536,-1.53848,19.6889,0.8
1.03243,-1.52757,19.7688,0.8
0.969505,-1.51665,19.8486,0.8
0.906575,-1.50573,19.9284,0.8
0.843647,-1.49482,20.0083,0.8
0.780882,-1.48442,20.0878,0.8
0.718715,-1.4759,20.1662,0.8
0.657611,-1.47072,20.2429,0.8
0.598031,-1.47034,20.3173,0.8
0.54044,-1.4762,20.3897,0.8
0.485301,-1.48977,20.4607,0.8
0.432892,-1.51192,20.5318,0.8
0.382878,-1.54159,20.6045,0.8
0.334793,-1.57733,20.6794,0.8
0.288177,-1.61769,20.7565,0.8
0.242564,-1.66119,20.8353,0.8
0.197492,-1.7064,20.9151,0.8
0.152542,-1.75199,20.9951,0.8
0.107592,-1.79759,21.0751,0.8
0.0626421,-1.84318,21.1551,0.8
0.0176923,-1.88877,21.2352,0.8
-0.0272575,-1.93436,21.3152,0.8
-0.0722074,-1.97995,21.3952,0.8
-0.117157,-2.02555,21.4753,0.8
-0.162107,-2.07114,21.5553,0.8
-0.207057,-2.11673,21.6353,0.8
-0.252007,-2.16232,21.7154,0.8
-0.296957,-2.20791,21.7954,0.8
-0.341906,-2.25351,21.8754,0.8
-0.386856,-2.2991,21.9555,0.8
-0.431806,-2.34469,22.0355,0.8
-0.476756,-2.39028,22.1155,0.8
-0.521706,-2.43587,22.1955,0.8
-0.566656,-2.48146,22.2756,0.8
-0.611605,-2.52706,22.3556,0.8
-0.656555,-2.57265,22.4356,0.8
-0.701275,-2.61754,22.5148,0.8
-0.744942,-2.65921,22.5903,0.8
-0.786639,-2.69487,22.6589,0.8
-0.825446,-2.7217,22.7178,0.8
-0.860446,-2.73691,22.7655,0.8
-0.890719,-2.73768,22.8034,0.8
-0.915584,-2.72193,22.8402,0.8
-0.935569,-2.69127,22.8859,0.8
-0.951593,-2.64853,22.943,0.8
-0.964575,-2.59649,23.01,0.8
